Title,Actual_Price,Selling_Price,Brand,Model,Colour,Form_Factor,Connectivity_Type,Product_ID,Discount_Percent,Playtime_Hours,Driver_Size_mm,Bluetooth_Version,Latency_ms,Gaming,ANC,ENC
"Wings Phantom Gaming TWS with 50ms Low Latency Bluetooth 5.3 Headset Bluetooth Gaming Headset  (White, True Wireless)",4999.0,1199.0,Wings,Phantom Gaming TWS with 65 ms Latency Bluetooth Headset,White,In Ear,Bluetooth,Wings_Phantom Gaming TWS with 65 ms Latency Bluetooth Headset,76.02,,,,50.0,True,False,False
"ZEBRONICS ZEB-BRO Wired Headset  (Green, In the Ear)",399.0,308.0,ZEBRONICS,ZEB-BRO,Green,In Ear,Wired,ZEBRONICS_ZEB-BRO,22.81,,,,,False,False,False
"boAt Rockerz 255F Pro with ASAP Charge and upto 10 Hours Playback Bluetooth Headset  (Active Black, In the Ear)",3499.0,1399.0,boAt,Rockerz 255F Pro / Rockerz 255 Pro,Active Black,In Ear,Bluetooth,boAt_Rockerz 255F Pro / Rockerz 255 Pro,60.02,10.0,,,,False,False,False
"Noise Air Buds Pro 2 with 25 Hours Playtime, 40dB ANC, Triple Mic with ENC, and IPX5 Bluetooth Headset  (Charcoal Black, True Wireless)",7999.0,2999.0,Noise,"Air Buds Pro 2 with 25 Hours Playtime, 40dB ANC, Triple Mic with ENC, and IPX5",Charcoal Black,In Ear,Bluetooth,"Noise_Air Buds Pro 2 with 25 Hours Playtime, 40dB ANC, Triple Mic with ENC, and IPX5",62.51,25.0,,,,False,True,True
"ZEBRONICS Zeb-Iron Head Wired Gaming Headset  (Black, On the Ear)",2799.0,1049.0,ZEBRONICS,Zeb-Iron Head,Black,On Ear,Wired,ZEBRONICS_Zeb-Iron Head,62.52,,,,,True,False,False
"Boult Audio ProBass XCharge with Zen Tech ENC mic 20H Playtime, Ultra-Fast Charging Bluetooth Headset  (Black, In the Ear)",4999.0,999.0,Boult,ProBassXcharge Black,Black,In Ear,Bluetooth,Boult_ProBassXcharge Black,80.02,20.0,,,,False,False,True
"PTron InTunes Ultima With Mega Bass Bluetooth Headset  (Black, Grey, In the Ear)",2699.0,999.0,PTron,InTunes Ultima,"Black, Grey",In Ear,Bluetooth,PTron_InTunes Ultima,62.99,,,,,False,False,False
"Wings Phantom 850 Wireless Earbuds, 50 hrsPlaytime, Quad ENC Mic & App Support Bluetooth Gaming Headset  (White, In the Ear)",2999.0,1499.0,Wings,Phantom 850,White,In Ear,Bluetooth,Wings_Phantom 850,50.02,,,,,True,False,True
"PTron Pride Lite HBE in-Ear Wired Headphones ( Blue ) Wired Headset  (Blue, In the Ear)",849.0,399.0,PTron,Pride Lite HBE in-Ear Wired Headphones ( Blue ),Blue,In Ear,Wired,PTron_Pride Lite HBE in-Ear Wired Headphones ( Blue ),53.0,,,,,False,False,False
"Wings Vader 200 Wired Gaming Headset  (Black, On the Ear)",2199.0,1299.0,Wings,Vader 200,Black,On Ear,Wired,Wings_Vader 200,40.93,,,,,True,False,False
"Skullcandy Ink'd Plus Wired Headset  (Black, In the Ear)",1765.0,1072.0,Skullcandy,S2IMY-M448,Black,In Ear,Wired,Skullcandy_S2IMY-M448,39.26,,,,,False,False,False
"Wings Bass Drops 101 with Environmental Noise Cancellation, 30 hours Playtime Bluetooth Headset  (White, True Wireless)",2999.0,1399.0,Wings,Bass Drops 101,White,In Ear,Bluetooth,Wings_Bass Drops 101,53.35,30.0,,,,False,False,False
"Skullcandy Crusher Evo Bluetooth Headset  (Black, On the Ear)",27999.0,16299.0,Skullcandy,Crusher Evo,Black,On Ear,Bluetooth,Skullcandy_Crusher Evo,41.79,,,,,False,False,False
"PTron Bassbuds Verse TWS Earbuds, 40H Playtime, ENC Calls, Deep Bass, BT5.3,TypeC,IPX4 Bluetooth Headset  (Grey, In the Ear)",4599.0,999.0,PTron,Bassbuds Verse,Grey,In Ear,Bluetooth,PTron_Bassbuds Verse,78.28,40.0,,,,False,False,True
"boAt Airdopes Atom 83 with 50Hrs Playback, Quad Mics ENx Technology & Beast Mode Bluetooth Headset  (Carbon Black, True Wireless)",4490.0,1499.0,boAt,Airdopes Atom 83,Carbon Black,In Ear,Bluetooth,boAt_Airdopes Atom 83,66.61,50.0,,,,False,False,True
"boAt Airdopes 163 Bluetooth Headset  (Active Black, True Wireless)",2490.0,1399.0,boAt,AIRDOPES 163,Active Black,In Ear,Bluetooth,boAt_AIRDOPES 163,43.82,,,,,False,False,False
"PTron Bassbuds Revv Bluetooth Gaming Headset  (Black, True Wireless)",4599.0,1699.0,PTron,Bassbuds Revv,Black,In Ear,Bluetooth,PTron_Bassbuds Revv,63.06,,,,,True,False,False
"Wings Phantom Pro Gaming TWS with 40 Hrs Playtime,50ms low latency, Bluetooth 5.3 Bluetooth Gaming Headset  (White, True Wireless)",5499.0,1299.0,Wings,Phantom Pro Gaming TWS with 40 Hrs Playtime Bluetooth Headset,White,In Ear,Bluetooth,Wings_Phantom Pro Gaming TWS with 40 Hrs Playtime Bluetooth Headset,76.38,40.0,,,50.0,True,False,False
"Skullcandy Hesh ANC Bluetooth Headset  (Mod White, On the Ear)",19999.0,11299.0,Skullcandy,Hesh ANC,Mod White,On Ear,Bluetooth,Skullcandy_Hesh ANC,43.5,,,,,False,True,False
"ZEBRONICS Zeb-Yoga 101 Bluetooth Headset  (Grey, In the Ear)",2499.0,849.0,ZEBRONICS,Zeb-Yoga 101,Grey,In Ear,Bluetooth,ZEBRONICS_Zeb-Yoga 101,66.03,,,,,False,False,False
"boAt Rockerz 333 Upto 30 Hours Battery Bluetooth Headset  (Cherry Black, In the Ear)",2490.0,1599.0,boAt,Rockerz 333 with ASAP Charge and upto 30 Hours Playback,Cherry Black,In Ear,Bluetooth,boAt_Rockerz 333 with ASAP Charge and upto 30 Hours Playback,35.78,30.0,,,,False,False,False
"ZEBRONICS Zeb-Blitz with DOLBY ATMOS with 7.1 Surround Sound Bluetooth Gaming Headset  (White, On the Ear)",5999.0,2399.0,ZEBRONICS,Zeb-Blitz,White,On Ear,Bluetooth,ZEBRONICS_Zeb-Blitz,60.01,,,,,True,False,False
"Noise Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync Bluetooth Headset  (Jet Black, True Wireless)",3999.0,1499.0,Noise,"Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync",Jet Black,In Ear,Bluetooth,"Noise_Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync",62.52,36.0,,,,False,False,True
"Boult Audio ProBass Curve Neckband Bluetooth Headset  (Black, Grey, In the Ear)",3499.0,899.0,Boult,Curve Wireless Neckband Magnetic Earphone With Mic,"Black, Grey",In Ear,Bluetooth,Boult_Curve Wireless Neckband Magnetic Earphone With Mic,74.31,,,,,False,False,False
"ZEBRONICS ZEB-HARK Wired Headset  (Black, In the Ear)",349.0,270.0,ZEBRONICS,ZEB-HARK,Black,In Ear,Wired,ZEBRONICS_ZEB-HARK,22.64,,,,,False,False,False
"Noise Buds VS202 with 13mm driver,Hyper Sync and Fast Charge Bluetooth Headset  (Charcoal Black, True Wireless)",3499.0,1099.0,Noise,Buds VS202 Truly Wireless,Charcoal Black,In Ear,Bluetooth,Noise_Buds VS202 Truly Wireless,68.59,,13.0,,,False,False,False
"Skullcandy Dime Truly wireless in Ear Earbuds with microphone Bluetooth Headset  (Chill Grey, True Wireless)",7499.0,2699.0,Skullcandy,s2dmw-p744,Chill Grey,In Ear,Bluetooth,Skullcandy_s2dmw-p744,64.01,,,,,False,False,False
"Wings Phantom 550, Gaming TWS Earbuds, 45hr Playtime, Touch Controls Bluetooth Gaming Headset  (Black, True Wireless)",2999.0,1299.0,Wings,Phantom 550,Black,In Ear,Bluetooth,Wings_Phantom 550,56.69,45.0,,,,True,False,False
"PTron Basspods P81 Pro Bluetooth Headset  (White, True Wireless)",3999.0,1749.0,PTron,Basspods P81 Pro,White,In Ear,Bluetooth,PTron_Basspods P81 Pro,56.26,,,,,False,False,False
"PTron Basspods Flare, 40ms Gaming TWS Earbuds, 35hrs Playtime, Clear Calls & Deep Bass Bluetooth Headset  (Black, In the Ear)",3199.0,899.0,PTron,Basspods Flare,Black,In Ear,Bluetooth,PTron_Basspods Flare,71.9,35.0,,,40.0,True,False,False
"Portronics Harmonics Twins S3 Blurtooth Earbuds with upto 20 Hours Playback, 8mm Drivers Bluetooth Headset  (White, True Wireless)",1999.0,1499.0,Portronics,Harmonics Twins S3,White,In Ear,Bluetooth,Portronics_Harmonics Twins S3,25.01,20.0,8.0,,,False,False,False
"Noise Buds VS102 with 14 Hours Playtime, 11mm Driver, IPX5, and Unique Flybird Design Bluetooth Headset  (Pearl White, True Wireless)",2999.0,999.0,Noise,Buds VS102 Truly Wireless,Pearl White,In Ear,Bluetooth,Noise_Buds VS102 Truly Wireless,66.69,14.0,11.0,,,False,False,False
"Skullcandy Dime Truly wireless in Ear Earbuds with microphone Bluetooth Headset  (Golden Red, True Wireless)",7499.0,2685.0,Skullcandy,S2DMW-P752,Golden Red,In Ear,Bluetooth,Skullcandy_S2DMW-P752,64.2,,,,,False,False,False
"PTron InTunes Beats Bluetooth Headset  (Black, Red, In the Ear)",2499.0,849.0,PTron,InTunes Beats,"Black, Red",In Ear,Bluetooth,PTron_InTunes Beats,66.03,,,,,False,False,False
"Noise Buds VS102 with 14 Hours Playtime, 11mm Driver, IPX5, and Unique Flybird Design Bluetooth Headset  (Celeste Blue, True Wireless)",2999.0,1199.0,Noise,Buds VS102 Truly Wireless,Celeste Blue,In Ear,Bluetooth,Noise_Buds VS102 Truly Wireless,60.02,14.0,11.0,,,False,False,False
"Noise Buds VS202 with 13mm driver,Hyper Sync and Fast Charge Bluetooth Headset  (Midnight Blue, True Wireless)",3499.0,1099.0,Noise,Buds VS202 Truly Wireless,Midnight Blue,In Ear,Bluetooth,Noise_Buds VS202 Truly Wireless,68.59,,13.0,,,False,False,False
"ZEBRONICS Zeb- Bro Plus Wired Headset  (Black, In the Ear)",349.0,298.0,ZEBRONICS,Zeb- Bro Plus,Black,In Ear,Wired,ZEBRONICS_Zeb- Bro Plus,14.61,,,,,False,False,False
"Noise Buds Combat with 45 Hours Playtime, Ultra-low Latency(40ms), Quad Mic ENC Gaming Bluetooth Headset  (Shadow grey, True Wireless)",3999.0,1799.0,Noise,Buds Combat,Shadow grey,In Ear,Bluetooth,Noise_Buds Combat,55.01,45.0,,,40.0,True,False,True
"Portronics Harmonics X1 Sports Bluetooth Headset  (Black, In the Ear)",1999.0,1445.0,Portronics,Harmonics X1 Sports,Black,In Ear,Bluetooth,Portronics_Harmonics X1 Sports,27.71,,,,,False,False,False
"Boult Audio AirBass GearPods with 32H Playtime Bluetooth Headset  (White, True Wireless)",5999.0,999.0,Boult,AirBass GearPods,White,In Ear,Bluetooth,Boult_AirBass GearPods,83.35,32.0,,,,False,False,False
"Portronics HARMONICS RWINS S3 Smart TWS Bluetooth 5.2 Earbuds with 20 Hrs Playtime Bluetooth Headset  (Black, In the Ear)",1999.0,1299.0,Portronics,HARMONICS RWINS S3 Smart TWS Bluetooth 5.2 Earbuds with 20 Hrs Playtime,Black,In Ear,Bluetooth,Portronics_HARMONICS RWINS S3 Smart TWS Bluetooth 5.2 Earbuds with 20 Hrs Playtime,35.02,20.0,,,,False,False,False
"ZEBRONICS 8 bit Gaming Headphone Wired Gaming Headset  (Black, On the Ear)",1999.0,949.0,ZEBRONICS,8 bit Gaming Headphone,Black,On Ear,Wired,ZEBRONICS_8 bit Gaming Headphone,52.53,,,,,True,False,False
"Portronics Conch 80 In Ear Wired Headset  (Red, In the Ear)",599.0,589.0,Portronics,Conch 80 In Ear,Red,In Ear,Wired,Portronics_Conch 80 In Ear,1.67,,,,,False,False,False
"Skullcandy Cassette Wireless Bluetooth Headset  (Black, On the Ear)",3999.0,2699.0,Skullcandy,Cassette Wireless,Black,On Ear,Bluetooth,Skullcandy_Cassette Wireless,32.51,,,,,False,False,False
"Noise Beads with 18hrs of playtime, HyperSync, IPX5 and Bluetooth v5.1 Bluetooth Headset  (Onyx Black, True Wireless)",3499.0,1399.0,Noise,Beads Truly Wireless,Onyx Black,In Ear,Bluetooth,Noise_Beads Truly Wireless,60.02,18.0,,5.1,,False,False,False
"Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset  (Blue, True Wireless)",4999.0,999.0,Boult,XPods,Blue,In Ear,Bluetooth,Boult_XPods,80.02,20.0,,,,False,False,False
"ZEBRONICS ZEB-CALYX earphone Wired Headset  (Black, In the Ear)",399.0,280.0,ZEBRONICS,ZEB-CALYX earphone,Black,In Ear,Wired,ZEBRONICS_ZEB-CALYX earphone,29.82,,,,,False,False,False
"ZEBRONICS ZEB-CALYX Wired Headset  (White, In the Ear)",399.0,299.0,ZEBRONICS,ZEB-CALYX,White,In Ear,Wired,ZEBRONICS_ZEB-CALYX,25.06,,,,,False,False,False
"Boult Audio Airbass XPods Pro with 20 hrs Playtime, Type-C Bluetooth Headset  (White, True Wireless)",5999.0,1499.0,Boult,Airbass XPods Pro,White,In Ear,Bluetooth,Boult_Airbass XPods Pro,75.01,20.0,,,,False,False,False
"Noise Buds VS202 with 13mm driver,Hyper Sync and Fast Charge Bluetooth Headset  (Mint Green, True Wireless)",3499.0,1099.0,Noise,Buds VS202 Truly Wireless,Mint Green,In Ear,Bluetooth,Noise_Buds VS202 Truly Wireless,68.59,,13.0,,,False,False,False
"Skullcandy Indy Evo True Bluetooth Headset  (Pure mint, True Wireless)",12999.0,5899.0,Skullcandy,Indy Evo True,Pure mint,In Ear,Bluetooth,Skullcandy_Indy Evo True,54.62,,,,,False,False,False
"Noise Beads with 18hrs of playtime, HyperSync, IPX5 and Bluetooth v5.1 Bluetooth Headset  (Pearl White, True Wireless)",3499.0,1399.0,Noise,Beads Truly Wireless,Pearl White,In Ear,Bluetooth,Noise_Beads Truly Wireless,60.02,18.0,,5.1,,False,False,False
"ZEBRONICS Zeb Sound Bomb 6 Bluetooth Headset  (Black, True Wireless)",2999.0,2145.0,ZEBRONICS,Zeb Sound Bomb 6,Black,In Ear,Bluetooth,ZEBRONICS_Zeb Sound Bomb 6,28.48,,,,,False,False,False
"Skullcandy Grind True Wireless Earbuds, Voice Control Bluetooth Headset  (Black, In the Ear)",12999.0,6999.0,Skullcandy,"Grind True Wireless Earbuds, Voice Control",Black,In Ear,Bluetooth,"Skullcandy_Grind True Wireless Earbuds, Voice Control",46.16,,,,,False,False,False
"ZEBRONICS ZEB-BANG Bluetooth Headset  (Orange, On the Ear)",1599.0,1450.0,ZEBRONICS,ZEB-BANG,Orange,On Ear,Bluetooth,ZEBRONICS_ZEB-BANG,9.32,,,,,False,False,False
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset  (Molten Orange, On the Ear)",3490.0,1199.0,boAt,Rockerz 510 / Rockerz 518,Molten Orange,On Ear,Bluetooth,boAt_Rockerz 510 / Rockerz 518,65.64,,,,,False,False,False
"Wings Phantom 205 Neck band with touch controls Bluetooth Gaming Headset  (Grey, In the Ear)",2999.0,899.0,Wings,Phantom 205 Neck band with touch controls,Grey,In Ear,Bluetooth,Wings_Phantom 205 Neck band with touch controls,70.02,,,,,True,False,False
"boAt Rockerz 255 Arc with ENx Technology, Quick Switch Button & 30 HRS Playback Bluetooth Headset  (Wave Blue, In the Ear)",2990.0,1299.0,boAt,Rockerz 255 Arc,Wave Blue,In Ear,Bluetooth,boAt_Rockerz 255 Arc,56.56,30.0,,,,False,False,True
"PTron Boom Gaming Wired Gaming Headset  (Black, In the Ear)",1699.0,699.0,PTron,Boom Gaming,Black,In Ear,Wired,PTron_Boom Gaming,58.86,,,,,True,False,False
"PTron Pride Lite HBE Wired Headset  (Black, In the Ear)",899.0,399.0,PTron,Pride Lite HBE,Black,In Ear,Wired,PTron_Pride Lite HBE,55.62,,,,,False,False,False
"PTron Bassbuds Xtreme, Gaming TWS Earbuds, 32hrs Playtime, Clear Calls, Pinch Control Bluetooth Headset  (Grey & Black, In the Ear)",4599.0,1299.0,PTron,Bassbuds Xtreme,Grey & Black,In Ear,Bluetooth,PTron_Bassbuds Xtreme,71.75,32.0,,,,True,False,False
"(Refurbished) Ptron Twinspro Bluetooth Headset with Mic  (Black, In the Ear)",,,(Refurbished),Twinspro,Black,In Ear,Bluetooth,(Refurbished)_Twinspro,,,,,,False,False,False
"Boult Audio AirBass Z40 with ZEN ENC Mic, 60H Playtime, Low Latency Bluetooth Headset  (Brown, In the Ear)",4999.0,1499.0,Boult,Airbass Z40,Brown,In Ear,Bluetooth,Boult_Airbass Z40,70.01,60.0,,,,False,False,True
"ZEBRONICS Zeb-Buds C2 Wired Headset  (Red, In the Ear)",699.0,573.0,ZEBRONICS,Zeb-Buds C2,Red,In Ear,Wired,ZEBRONICS_Zeb-Buds C2,18.03,,,,,False,False,False
"Boult Audio ProBass EQCharge with ZEN Mode ENC, 32hrs Playtime, Ultra-Fast Charging Bluetooth Headset  (Red, In the Ear)",4499.0,799.0,Boult,ProBass EQCharge,Red,In Ear,Bluetooth,Boult_ProBass EQCharge,82.24,32.0,,,,False,False,True
"Noise Air Buds Mini with 15 Hours Playtime, Tru Bass Technology, and HyperSync Bluetooth Headset  (Jet Black, True Wireless)",2999.0,999.0,Noise,Air Buds Mini Truly Wireless,Jet Black,In Ear,Bluetooth,Noise_Air Buds Mini Truly Wireless,66.69,15.0,,,,False,False,False
"PTron Basspods P251+, 50Hrs Playback, 12mm Driver, ENC, Movie Mode Bluetooth Headset  (Black, True Wireless)",3999.0,999.0,PTron,Basspods P251+,Black,In Ear,Bluetooth,PTron_Basspods P251+,75.02,50.0,12.0,,,False,False,True
"Wings Phantom 850 Wireless Earbuds, 50 hrsPlaytime, Quad ENC Mic & App Support Bluetooth Gaming Headset  (Black, In the Ear)",2999.0,1499.0,Wings,Phantom 850,Black,In Ear,Bluetooth,Wings_Phantom 850,50.02,,,,,True,False,True
"Boult Audio AirBass Y1 TWS Earbuds, 40H Playtime, Fast Charging, Pro+ Calling, Type C, IPX5 Water Resistant, Bluetooth v5.1, Voice Assistant Bluetooth Headset  (Black, True Wireless)",5499.0,1399.0,Boult,airbass y1 wireless earphones,Black,In Ear,Bluetooth,Boult_airbass y1 wireless earphones,74.56,40.0,,5.1,,False,False,False
"ZEBRONICS ZEB-YOGA N1 Wireless Earphones with ENC, Gaming Mode, up to 20H playback. Bluetooth Gaming Headset  (Blue, In the Ear)",2999.0,1099.0,ZEBRONICS,"ZEB-YOGA N1 Wireless Earphones with ENC, Gaming Mode, up to 20H playback.",Blue,In Ear,Bluetooth,"ZEBRONICS_ZEB-YOGA N1 Wireless Earphones with ENC, Gaming Mode, up to 20H playback.",63.35,20.0,,,,True,False,True
"boAt Rockerz 333ANC with Crystal Bionic Sound,13mm Drivers &Active Noise Cancellation Bluetooth Headset  (Stellar Black, In the Ear)",4990.0,1999.0,boAt,Rockerz 333ANC,Stellar Black,In Ear,Bluetooth,boAt_Rockerz 333ANC,59.94,,13.0,,,False,True,False
"Noise Buds VS102 with 14 Hours Playtime, 11mm Driver, IPX5, and Unique Flybird Design Bluetooth Headset  (Jet Black, True Wireless)",2999.0,1099.0,Noise,Buds VS102 Truly Wireless,Jet Black,In Ear,Bluetooth,Noise_Buds VS102 Truly Wireless,63.35,14.0,11.0,,,False,False,False
"Skullcandy Dime 2 Bluetooth Headset  (Blue, Green, True Wireless)",7999.0,2699.0,Skullcandy,S2DBW-P750,"Blue, Green",In Ear,Bluetooth,Skullcandy_S2DBW-P750,66.26,,,,,False,False,False
"Noise Nerve Neckband with 25 Hours of Playtime, 10mm Driver, Instacharge, and IPX5 Bluetooth Headset  (Mist Grey, In the Ear)",2499.0,899.0,Noise,Nerve Neckband,Mist Grey,In Ear,Bluetooth,Noise_Nerve Neckband,64.03,25.0,10.0,,,False,False,False
"Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset  (White, True Wireless)",4999.0,999.0,Boult,Xpods Wireless Earphones,White,In Ear,Bluetooth,Boult_Xpods Wireless Earphones,80.02,20.0,,,,False,False,False
"PTron Soundster Arcade Gaming Wired Headphones with Adjustable HD Mic, Hi-Fi Stereo Sound, Ergonomic Headset with Volume Control, 3.5mm Aux and 1.3 Meter Long Tangle-free Cable Wired Gaming Headset  (Black, On the Ear)",1299.0,699.0,PTron,Soundster Arcade,Black,On Ear,Wired,PTron_Soundster Arcade,46.19,,,,,True,False,False
"Skullcandy Jib Plus Wireless Bluetooth Headset  (Pure Mint, In the Ear)",2499.0,1499.0,Skullcandy,Jib Plus Wireless,Pure Mint,In Ear,Bluetooth,Skullcandy_Jib Plus Wireless,40.02,,,,,False,False,False
"Portronics POR-1071 Conch Beta Wired Headset  (Black, In the Ear)",599.0,418.0,Portronics,"CONCH BETA, POR 1071",Black,In Ear,Wired,"Portronics_CONCH BETA, POR 1071",30.22,,,,,False,False,False
"Boult Audio ProBass EQCharge with ZEN Mode ENC, 32hrs Playtime, Ultra-Fast Charging Bluetooth Headset  (Blue, In the Ear)",4499.0,799.0,Boult,ProBass EQCharge,Blue,In Ear,Bluetooth,Boult_ProBass EQCharge,82.24,32.0,,,,False,False,True
"Boult Audio ProBass Curve Neckband Bluetooth Headset  (Blue, Black, Grey, In the Ear)",3499.0,899.0,Boult,Curve Wireless Neckband Magnetic Earphone With Mic,"Blue, Black, Grey",In Ear,Bluetooth,Boult_Curve Wireless Neckband Magnetic Earphone With Mic,74.31,,,,,False,False,False
"Portronics POR-1156 Harmonics 224 Bluetooth Headset  (Black, In the Ear)",1499.0,799.0,Portronics,POR-1156 Harmonics 224,Black,In Ear,Bluetooth,Portronics_POR-1156 Harmonics 224,46.7,,,,,False,False,False
"boAt Rockerz 235 Pro with upto 20 Hours Playback and ASAP Charge Bluetooth Headset  (Furious Blue, In the Ear)",1990.0,1299.0,boAt,Rockerz 235 Pro,Furious Blue,In Ear,Bluetooth,boAt_Rockerz 235 Pro,34.72,20.0,,,,False,False,False
"Boult Audio ProBass XCharge with Zen Tech ENC mic 20H Playtime, Ultra-Fast Charging Bluetooth Headset  (Red, In the Ear)",4999.0,1099.0,Boult,ProBassXcharge Red,Red,In Ear,Bluetooth,Boult_ProBassXcharge Red,78.02,20.0,,,,False,False,True
"ZEBRONICS Zeb-Buds C2 Wired Headset  (Blue, In the Ear)",699.0,599.0,ZEBRONICS,Zeb-Buds C2,Blue,In Ear,Wired,ZEBRONICS_Zeb-Buds C2,14.31,,,,,False,False,False
"Boult Audio ProBass XCharge with Zen Tech ENC mic 20H Playtime, Ultra-Fast Charging Bluetooth Headset  (Teal Blue, In the Ear)",4999.0,999.0,Boult,ProBass XCharge,Teal Blue,In Ear,Bluetooth,Boult_ProBass XCharge,80.02,20.0,,,,False,False,True
"Noise Nerve Pro with upto 35hrs of playtime, ESR, Instacharge and Bluetooth v5.2 Bluetooth Headset  (Jet Black, In the Ear)",2799.0,1199.0,Noise,Nerve Pro Neckband,Jet Black,In Ear,Bluetooth,Noise_Nerve Pro Neckband,57.16,35.0,,5.2,,False,False,False
"PTron Tangent Beat Bluetooth Headset  (Green, In the Ear)",2499.0,1399.0,PTron,Tangent Beat,Green,In Ear,Bluetooth,PTron_Tangent Beat,44.02,,,,,False,False,False
"Skullcandy CrusherEvo Bluetooth Headset  (Chill Grey, On the Ear)",27999.0,16203.0,Skullcandy,CrusherEvo,Chill Grey,On Ear,Bluetooth,Skullcandy_CrusherEvo,42.13,,,,,False,False,False
"Noise Buds VS204 with 50 Hours Playtime, Instacharge, ESR, 10mm Driver, and HyperSync Bluetooth Headset  (Jet Black, True Wireless)",3999.0,1599.0,Noise,Buds�VS204,Jet Black,In Ear,Bluetooth,Noise_Buds�VS204,60.02,50.0,10.0,,,False,False,False
"boAt Rockerz 255F Pro with Fast Charging Bluetooth Headset  (Navy Blue, In the Ear)",3499.0,1381.0,boAt,Rockerz 255F Pro / Rockerz 255 Pro,Navy Blue,In Ear,Bluetooth,boAt_Rockerz 255F Pro / Rockerz 255 Pro,60.53,,,,,False,False,False
"Skullcandy Dime 2 Bluetooth Headset  (Black, True Wireless)",7999.0,2619.0,Skullcandy,S2DBW-P740,Black,In Ear,Bluetooth,Skullcandy_S2DBW-P740,67.26,,,,,False,False,False
"PTron Bassbud Bluetooth Gaming Headset  (Black, True Wireless)",3699.0,1499.0,PTron,Bassbud,Black,In Ear,Bluetooth,PTron_Bassbud,59.48,,,,,True,False,False
"Portronics Muffs M1 Wireless with Long Playtime Bluetooth Headset  (Black, On the Ear)",2499.0,1699.0,Portronics,Muffs M1 Wireless with Long Playtime,Black,On Ear,Bluetooth,Portronics_Muffs M1 Wireless with Long Playtime,32.01,,,,,False,False,False
"Wings Phantom 760 Wireless Earphones with Low Latency, Bullet ChargeTM & App Support Bluetooth Gaming Headset  (Black, In the Ear)",2999.0,1399.0,Wings,Phantom 760,Black,In Ear,Bluetooth,Wings_Phantom 760,53.35,,,,,True,False,False
"Skullcandy Jib Plus Wireless Bluetooth Headset  (Electric Yellow, In the Ear)",2499.0,1499.0,Skullcandy,Jib Plus Wireless,Electric Yellow,In Ear,Bluetooth,Skullcandy_Jib Plus Wireless,40.02,,,,,False,False,False
"PTron Basspods P681 TWS Earbuds, 28H Playtime, ENC Calls, Deep Bass, BT5.3, TypeC,IPX4 Bluetooth Headset  (Black, In the Ear)",3199.0,999.0,PTron,Basspods P681,Black,In Ear,Bluetooth,PTron_Basspods P681,68.77,28.0,,,,False,False,True
"ZEBRONICS ZEB-PARADISE Bluetooth Headset  (Green, True Wireless)",1199.0,999.0,ZEBRONICS,ZEB-PARADISE,Green,In Ear,Bluetooth,ZEBRONICS_ZEB-PARADISE,16.68,,,,,False,False,False
"boAt Bassheads 103 Wired Headset  (Mint Green, In the Ear)",1290.0,499.0,boAt,Bassheads 103,Mint Green,In Ear,Wired,boAt_Bassheads 103,61.32,,,,,False,False,False
"boAt Rockerz 333 Upto 30 Hours Battery Bluetooth Headset  (Teal Green, In the Ear)",2490.0,1599.0,boAt,Rockerz 333 with ASAP Charge and upto 30 Hours Playback,Teal Green,In Ear,Bluetooth,boAt_Rockerz 333 with ASAP Charge and upto 30 Hours Playback,35.78,30.0,,,,False,False,False
"Skullcandy Jib Plus Wireless Bluetooth Headset  (Blue, In the Ear)",2499.0,1499.0,Skullcandy,S2JPW-M101,Blue,In Ear,Bluetooth,Skullcandy_S2JPW-M101,40.02,,,,,False,False,False
"Noise Air Buds 2 with 40 Hours Playtime, 13mm Driver, Quad Mic with ENC, & Instacharge Bluetooth Headset  (Black, True Wireless)",4999.0,1899.0,Noise,Airbuds 2,Black,In Ear,Bluetooth,Noise_Airbuds 2,62.01,40.0,13.0,,,False,False,True
"boAt Airdopes 131 PRO with 11mm Drivers,45Hrs Playback,ASAP Charge & Quad Mic ENx Bluetooth Headset  (Active Black, Dark Grey, In the Ear)",2990.0,1299.0,boAt,Airdopes 131 Pro,"Active Black, Dark Grey",In Ear,Bluetooth,boAt_Airdopes 131 Pro,56.56,45.0,11.0,,,False,False,True
"Portronics Conch 202,POR 615 Wired Headset  (White, In the Ear)",,699.0,Portronics,"Conch 202,POR 615",White,In Ear,Wired,"Portronics_Conch 202,POR 615",,,,,,False,False,False
"Portronics POR-004 Muffs R Bluetooth Headset  (Black, On the Ear)",3999.0,2363.0,Portronics,POR-004 Muffs R,Black,On Ear,Bluetooth,Portronics_POR-004 Muffs R,40.91,,,,,False,False,False
